Year,Counts,blazer,blouse,bra,camisole,capris,cardigan,casual+shirt,chinos,coat,corset,dress,dress+shirt,gown,scarf,shapewear,shirt,shorts,skirt,slacks,sleepwear,socks,stockings,suit,suspenders,sweater,sweater+set,hoodie,hose,hosiery,jacket,knit+top,leggings,lingerie,outerwear,pajamas,panties,pants,pjs,polo,swimwear,t-shirt,tank,tank+top,tee,tie,tights,top,trousers,tunic,undershirt,underwear,undies
1800.0,4819308,0.0,6.224960316103534e-07,4.149973449329991e-07,0.0,0.0,0.0,0.0,0.0,3.9424747228622437e-05,0.0,8.590445213485509e-05,0.0,2.1372363335103728e-05,8.299946898659982e-07,0,1.514740324637387e-05,2.0749867246649956e-07,1.8674880948310602e-06,0.0,0.0,6.224960316103534e-07,8.922443157644011e-06,4.2329727875767276e-05,0.0,0.0,0.0,0.0,4.979968252882827e-06,0.0,8.092448297247756e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.299946898659982e-07,0.0,0.0,0.0,0,8.299946898659982e-07,0.0,8.299946898659982e-07,2.406984640401788e-05,6.224960316103534e-07,5.83071268920321e-05,1.8674880948310602e-06,6.224960316103534e-07,0.0,0.0,0.0
1801.0,1625094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.476837587688351e-05,0.0,0.00011691630788845941,0.0,1.969116783584468e-05,0.0,0,8.614885700808372e-06,0.0,1.2306979897402925e-06,0.0,0.0,0.0,1.2306980352150276e-05,1.9075818272540346e-05,0.0,0.0,0.0,0.0,1.8460469846104388e-06,0.0,3.076745088037569e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.8460469846104388e-06,0.0,0.0,0.0,0,0.0,0.0,2.461395979480585e-06,3.815163654508069e-05,0.0,7.691862265346572e-05,1.2306979897402925e-06,2.461395979480585e-06,0.0,0.0,0.0
1802.0,2242368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8095299057895318e-05,0.0,7.313697278732434e-05,0.0,8.919142601371277e-06,4.4595714143724763e-07,0,5.351485924620647e-06,0.0,2.6757429623103235e-06,0.0,0.0,0.0,6.2434000938083045e-06,1.605445686436724e-05,0.0,0.0,0.0,0.0,3.1217000469041523e-06,0.0,4.905528385279467e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.7838285657489905e-06,0.0,0.0,0.0,0,0.0,0.0,5.797443009214476e-06,2.4973600375233218e-05,0.0,6.109612877480686e-05,4.4595714143724763e-07,0.0,0.0,0.0,0.0
1803.0,1452780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0936825573444366e-05,0.0,7.434023427776992e-05,0.0,1.789672205632087e-05,4.818348315893672e-06,0,1.3078374649921898e-05,0.0,2.065006356133381e-06,0.0,0.0,0.0,2.2026735678082332e-05,3.3040101698134094e-05,0.0,0.0,0.0,0.0,4.818348315893672e-06,0.0,5.506683919520583e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.065006356133381e-06,0.0,0.0,0.0,0,0.0,0.0,6.883354899400729e-07,2.4780078092589974e-05,0.0,5.782017979072407e-05,0.0,2.065006356133381e-06,0.0,0.0,0.0
1804.0,2625798,0.0,0.0,1.9041830228161416e-06,0.0,0.0,0.0,0.0,0.0,3.694115002872422e-05,0.0,6.969310197746381e-05,0.0,1.637597415538039e-05,3.808366102475702e-07,0,1.3329281500773504e-05,3.808366102475702e-07,3.808366102475702e-07,0.0,0.0,0.0,1.0282588846166618e-05,2.0184339518891647e-05,0.0,0.0,0.0,0.0,1.9041830228161416e-06,0.0,4.189202627458144e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.5233464409902808e-06,0.0,0.0,0.0,0,7.616732204951404e-07,0.0,1.5233464409902808e-06,2.5135215764748864e-05,0.0,4.6842902520438656e-05,0.0,0.0,0.0,0.0,0.0
1805.0,3413008,0.0,0.0,8.789900221017888e-07,0.0,0.0,0.0,0.0,0.0,1.904478449432645e-05,0.0,2.549070995883085e-05,0.0,1.4356836800288875e-05,8.789900221017888e-07,0,8.496903319610283e-06,0.0,2.929966740339296e-06,0.0,0.0,2.929966740339296e-07,1.61148163897451e-05,4.834445280721411e-05,0.0,0.0,0.0,0.0,1.1133874068036675e-05,2.929966740339296e-07,2.929966740339296e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.929966740339296e-07,0.0,0.0,0.0,0,0.0,0.0,2.6369700663053663e-06,1.142687051469693e-05,0.0,0.00015060028817970306,0.0,0.0,0.0,0.0,0.0
1806.0,7251441,1.3790362629606534e-07,0.0,2.758072525921307e-07,0.0,0.0,0.0,0.0,0.0,2.2616195565206e-05,0.0,5.198966755415313e-05,0.0,2.137506271537859e-05,4.1371089309905074e-07,0,7.584699233120773e-06,0.0,1.930650796566624e-06,0.0,0.0,2.758072525921307e-07,2.7718628189177252e-05,5.309289554134011e-05,0.0,0.0,0.0,0.0,3.585494368962827e-06,0.0,1.1032290103685227e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.516145051842614e-07,0.0,0.0,0.0,0,1.3790362629606534e-07,0.0,2.068554294964997e-06,1.972021891560871e-05,1.3790362629606534e-07,7.322682358790189e-05,0.0,2.758072525921307e-07,0.0,0.0,0.0
1807.0,4170586,0.0,0.0,2.3977446517164935e-07,0.0,0.0,0.0,0.0,0.0,4.315940532251261e-05,0.0,0.00011437242210377008,0.0,3.5726396163227037e-05,3.83639144274639e-06,0,1.3906918866268825e-05,0.0,3.3568426260899287e-06,0.0,0.0,7.193233955149481e-07,1.6064888768596575e-05,4.69957958557643e-05,0.0,0.0,0.0,0.0,1.2468271961552091e-05,1.4386467910298961e-06,5.99436179982149e-06,0.0,3.83639144274639e-06,0.0,0.0,0.0,0.0,1.918195721373195e-06,0.0,0.0,0.0,0,0.0,0.0,2.1579701297014253e-06,2.4936543923104182e-05,0.0,0.0001028632468660362,2.3977446517164935e-07,4.076166078448296e-06,0.0,0.0,0.0
1808.0,4832922,0.0,0.0,2.0691416580120858e-07,0.0,0.0,0.0,0.0,0.0,3.434775135247037e-05,0.0,7.759281288599595e-05,0.0,3.1657866202294827e-05,2.069141601168667e-06,0,5.172854343982181e-06,0.0,3.7244549275783356e-06,0.0,0.0,2.0691416580120858e-07,6.000510893500177e-06,3.517540972097777e-05,0.0,0.0,0.0,0.0,1.8622274637891678e-06,0.0,2.276055738548166e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.6553133264096687e-06,0.0,2.0691416580120858e-07,0.0,0,1.0345708005843335e-06,0.0,1.0345708005843335e-06,2.089833105856087e-05,0.0,6.228116399142891e-05,0.0,2.069141601168667e-06,0.0,0.0,0.0
1809.0,4500650,0.0,0.0,2.2219012407731498e-07,0.0,0.0,0.0,0.0,0.0,3.532823029672727e-05,0.0,7.310054934350774e-05,0.0,2.088587098114658e-05,3.1106617370824097e-06,0,8.665414497954771e-06,2.2219012407731498e-07,1.7775209926185198e-06,0.0,0.0,2.2219012407731498e-07,8.221034477173816e-06,2.999566640937701e-05,0.0,0.0,0.0,0.0,4.888182957074605e-06,0.0,6.443513484555297e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.7775209926185198e-06,0.0,2.2219012407731498e-07,0.0,0,2.2219012407731498e-07,0.0,2.888471499318257e-06,1.9997110939584672e-05,2.2219012407731498e-07,5.599190990324132e-05,6.665703722319449e-07,1.7775209926185198e-06,0.0,0.0,2.2219012407731498e-07
