Year,Counts,angora,boucle,canvas,chambray,chiffon,chino,corduroy,cotton,damask,demin,denim,elastane,eyelet,faille,mesh,mohair,moleskin,nylon,organza,oxford,percaline,polyester,rayon,satin,saxony,seersucker,shearling,silk,flannel,flax,full+grain+leather,gabardine,gingham,grosgrain,herringbone,houndstooth,jacquard,jean,jersey,lace,leather,madras,suede,taffeta,ticking,top+grain+leather,tricot,tulle,tweed,twill,velour,velvet,viscose,worcester
1800.0,4819308,0.0,0.0,3.7349761896621203e-06,0.0,0.0,0.0,2.0749867246649956e-07,4.357472334959311e-06,2.074986696243286e-06,0.0,0.0,0,2.0749867246649956e-07,0.0,2.0749867246649956e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5274774745630566e-06,0.0,0.0,0.0,2.2824853658676147e-05,1.6599893797319965e-06,4.772469310410088e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2864918062405195e-05,9.544938620820176e-06,0.0,0.0,0.0,1.6599893797319965e-06,0,0.0,0.0,0.0,6.224960316103534e-07,0.0,1.0997429853887297e-05,0.0,0
1801.0,1625094,0.0,0.0,1.0460932571731973e-05,0.0,0.0,0.0,0.0,7.384187938441755e-06,9.84558391792234e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.230235264112707e-06,0.0,0.0,0.0,1.2306980352150276e-05,4.92279195896117e-06,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.538141067518154e-06,6.153490176075138e-06,0.0,0.0,2.461395979480585e-06,0.0,0,0.0,0.0,0.0,0.0,0.0,1.7229771401616745e-05,0.0,0
1802.0,2242368,0.0,0.0,8.02722843218362e-06,0.0,0.0,0.0,0.0,2.0959985704394057e-05,3.567657131497981e-06,0.0,0.0,0,4.4595714143724763e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01361421609181e-06,0.0,0.0,0.0,1.1594886018428952e-05,4.4595714143724763e-07,2.2297856503428193e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,4.4595714143724763e-07,0.0,8.919142601371277e-06,2.2297856503428193e-06,0.0,0.0,8.919142828744953e-07,0.0,0,0.0,0.0,0.0,3.567657131497981e-06,0.0,1.650041485845577e-05,0.0,0
1803.0,1452780,0.0,0.0,9.636696631787345e-06,0.0,0.0,0.0,0.0,4.130012712266762e-06,6.883355126774404e-06,0.0,0.0,0,0.0,0.0,6.883354899400729e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7533419597602915e-06,0.0,0.0,0.0,2.4091741579468362e-05,0.0,2.7533419597602915e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2390039046294987e-05,5.506683919520583e-06,0.0,0.0,6.883354899400729e-07,0.0,0,0.0,0.0,0.0,6.883354899400729e-07,0.0,2.7533420507097617e-05,0.0,0
1804.0,2625798,0.0,0.0,1.9041830228161416e-06,0.0,0.0,0.0,0.0,7.616732204951404e-07,3.0466928819805617e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.189202627458144e-06,0.0,0.0,0.0,8.378405254916288e-06,1.14250985916442e-06,1.14250985916442e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.616732091264566e-06,4.57003943665768e-06,0.0,0.0,7.616732204951404e-07,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0282588846166618e-05,0.0,0
1805.0,3413008,0.0,0.0,5.566937034018338e-06,0.0,0.0,0.0,0.0,3.6624584026867524e-05,4.101953436475014e-06,0.0,0.0,0,0.0,0.0,0.0,5.859933480678592e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.929966740339296e-06,0.0,0.0,0.0,4.658647230826318e-05,4.101953436475014e-06,8.203906872950029e-06,0,0.0,0.0,0.0,2.929966740339296e-07,0.0,0.0,0.0,0.0,1.787279688869603e-05,2.6369700208306313e-05,0.0,0.0,2.929966740339296e-07,5.859933480678592e-07,0,0.0,0.0,0.0,5.859933480678592e-07,0.0,2.226774813607335e-05,0.0,0
1806.0,7251441,0.0,0.0,3.309687144792406e-06,0.0,0.0,0.0,0.0,5.24033794135903e-06,1.7927471844814136e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.3790362629606534e-07,0.0,0.0,0.0,0.0,0.0,3.033879693248309e-06,0.0,0.0,0.0,2.2892001652508043e-05,1.379036234538944e-06,3.999205091531621e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3790362629606534e-07,0.0,9.239543032890651e-06,2.178877366532106e-05,0.0,0.0,0.0,1.3790362629606534e-07,0,0.0,0.0,0.0,2.758072525921307e-07,0.0,1.6134723409777507e-05,0.0,0
1807.0,4170586,0.0,0.0,5.7545871641195845e-06,0.0,0.0,0.0,0.0,7.193234068836318e-06,4.076166078448296e-06,0.0,0.0,0,0.0,0.0,2.3977446517164935e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.351204425911419e-06,0.0,0.0,0.0,4.220030677970499e-05,9.590978606865974e-07,6.473910616477951e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.846263330662623e-05,1.846263330662623e-05,0.0,0.0,0.0,9.590978606865974e-07,0,0.0,0.0,0.0,1.4386467910298961e-06,0.0,2.5895642465911806e-05,0.0,0
1808.0,4832922,0.0,0.0,5.172854343982181e-06,0.0,0.0,0.0,2.0691416580120858e-07,7.241995717777172e-06,2.68988424068084e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8622274637891678e-06,0.0,0.0,0.0,1.6346219126717187e-05,6.4143391682591755e-06,9.104222954192664e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.551856257719919e-05,9.931880413205363e-06,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0691416580120858e-07,8.276566632048343e-07,2.0691416580120858e-07,8.897309271560516e-06,0.0,0
1809.0,4500650,0.0,0.0,3.1106617370824097e-06,0.0,0.0,0.0,0.0,5.776942998636514e-06,4.4438024815462995e-06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2219012407731498e-07,0.0,0.0,0.0,4.888182957074605e-06,0.0,0.0,0.0,1.666425850999076e-05,1.7775209926185198e-06,3.5550419852370396e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.887604963092599e-06,4.4438024815462995e-06,0.0,0.0,1.1109506203865749e-06,4.4438024815462995e-07,0,0.0,0.0,0.0,1.7775209926185198e-06,0.0,9.109795428230427e-06,0.0,0
