"Year"," hose","gown","suit ","sweater","suit ","suit ","tie s"," tee","cardigan"," suit","tee ","top"," tie","dress"," coat","dress ","jacket","tie "," tie","tie "," tie","blazer","tie "," tie"," coat","tie "," tie","polo","tank","scarf"," top"," coat","corset","top ","an tie","tunic","underwear"," dress","coat "," coat","coat ","suit ","tie","suit","coat ","hose","skirt"," dress","bra","coat ","coat","n tie","shirt","tee"
1800,"8.618736322604127E-8","1.154910667228953E-5","8.618736322604127E-8","8.618736322604127E-8","0.0","0.0","9.480609954864539E-7","6.033115425822889E-7","3.3613071658156097E-6","8.618736322604127E-8","0.0","8.092993406925276E-5","3.447494529041651E-7","3.852575136204045E-5","0.0","0.0","8.79111104905621E-6","3.447494529041651E-7","1.3789978116166604E-6","1.0342483587124952E-6","2.585620896781238E-7","8.618736322604127E-8","8.618736322604127E-8","2.585620896781238E-7","0.0","1.7237472645208255E-7","1.7237472645208255E-7","4.3093681613020634E-7","5.1712417935624765E-6","8.618736322604127E-7","1.7237472645208255E-7","0.0","1.7237472645208255E-7","8.618736322604127E-8","6.033115425822889E-7","5.171241793562476E-7","0.0","1.7237472645208255E-7","0.0","0.0","0.0","0.0","4.581720229096354E-4","2.6028583694264464E-5","1.7237472645208255E-7","1.0514858313577035E-5","1.2066230851645779E-6","0.0","1.4651851748427017E-5","8.618736322604127E-8","6.76570801324424E-5","1.5513725380687429E-6","4.136993434849981E-6","5.360853992659767E-5"
1801,"1.1727748298127806E-7","1.1141360883221416E-5","0.0","0.0","0.0","0.0","1.7591622447191709E-6","4.104711904344732E-7","2.9319370745319514E-6","5.863874149063903E-8","3.518324489438342E-7","7.019057356429491E-5","2.931937074531951E-7","4.708690941698314E-5","0.0","0.0","7.095287720367323E-6","2.3455496596255612E-7","1.7591622447191709E-6","1.700523503228532E-6","1.759162244719171E-7","8.795811223595854E-7","4.104711904344732E-7","5.863874149063903E-8","0.0","5.277486734157513E-7","2.3455496596255612E-7","5.863874149063903E-7","4.280628128816649E-6","8.795811223595854E-7","2.3455496596255612E-7","0.0","4.104711904344732E-7","5.863874149063903E-8","4.6910993192511224E-7","8.795811223595854E-7","0.0","5.863874149063903E-8","5.863874149063903E-8","0.0","5.863874149063903E-8","5.863874149063903E-8","4.956146430788811E-4","3.1195810473019963E-5","0.0","1.0906805917258859E-5","5.863874149063903E-7","2.3455496596255612E-7","1.6946596290794678E-5","0.0","5.787643785126072E-5","1.2314135713034197E-6","5.687957924591986E-6","5.916649016405478E-5"
1802,"1.7503940428722847E-7","1.0794096597712422E-5","0.0","0.0","0.0","0.0","1.4586617023935706E-6","6.41811149053171E-7","6.41811149053171E-6","5.834646809574282E-8","5.834646809574282E-8","8.05181259721251E-5","4.0842527667019976E-7","5.5545837627147166E-5","0.0","1.1669293619148565E-7","7.701733788638052E-6","2.917323404787141E-7","2.1588193195424842E-6","1.4003152342978277E-6","1.7503940428722847E-7","3.5007880857445694E-7","3.5007880857445694E-7","5.834646809574282E-8","0.0","2.917323404787141E-7","3.5007880857445694E-7","8.168505533403995E-7","6.651497362914681E-6","9.335434895318852E-7","1.1669293619148565E-7","0.0","1.633701106680799E-6","1.7503940428722847E-7","5.834646809574282E-7","1.0502364257233708E-6","0.0","5.834646809574282E-8","1.7503940428722847E-7","1.7503940428722847E-7","0.0","5.834646809574282E-8","5.731957025725775E-4","3.8975440687956205E-5","0.0","1.470330996012719E-5","2.0421263833509986E-6","1.1669293619148565E-7","1.657039693919096E-5","5.834646809574282E-8","5.799638928716836E-5","1.5753546385850562E-6","6.476457958627453E-6","6.447284724579582E-5"
1803,"3.112701134187363E-7","6.474418359109715E-6","0.0","0.0","0.0","6.225402268374727E-8","1.929874703196165E-6","1.2450804536749453E-7","5.665116064221001E-6","1.2450804536749453E-7","3.7352413610248357E-7","5.932808361761114E-5","7.470482722049671E-7","5.9141321549559896E-5","0.0","1.8676206805124178E-7","8.155276971570891E-6","1.8676206805124178E-7","1.8053666578286705E-6","1.6186045897774287E-6","0.0","0.0","4.3577815878623085E-7","1.2450804536749453E-7","6.225402268374727E-8","2.4901609073498906E-7","4.3577815878623085E-7","5.602862041537254E-7","6.038640200323485E-6","1.2450804536749452E-6","6.225402268374727E-8","0.0","1.431842521726187E-6","6.225402268374727E-8","4.3577815878623085E-7","8.715563175724617E-7","0.0","1.2450804536749453E-7","2.4901609073498906E-7","0.0","0.0","1.2450804536749453E-7","5.665116064221E-4","3.8472986018555806E-5","0.0","1.3758139013108145E-5","1.7431126351449234E-6","0.0","1.7244364283397992E-5","0.0","5.9639353731029876E-5","1.7431126351449234E-6","6.8479424952121985E-6","5.945259166297863E-5"
1804,"2.1684638352817522E-7","9.432817683475622E-6","0.0","0.0","0.0","0.0","2.0600406435176645E-6","2.1684638352817522E-7","4.282716074681461E-6","0.0","3.2526957529226284E-7","8.082948946012732E-5","4.879043629383943E-7","5.8006407593786874E-5","5.4211595882043806E-8","0.0","6.288545122317082E-6","4.879043629383943E-7","2.222675431163796E-6","2.6021566023381027E-6","5.4211595882043806E-8","7.047507464665695E-7","3.2526957529226284E-7","1.0842319176408761E-7","0.0","2.7105797941021903E-7","3.2526957529226284E-7","1.13844351352292E-6","5.312736396440293E-6","1.4637130888151827E-6","0.0","0.0","7.589623423486133E-7","1.0842319176408761E-7","7.047507464665695E-7","1.0842319176408761E-6","0.0","5.4211595882043806E-8","1.0842319176408761E-7","1.0842319176408761E-7","5.4211595882043806E-8","1.6263478764613142E-7","6.025076766330349E-4","3.339434306333899E-5","0.0","1.1330223539347155E-5","1.3010783011690513E-6","0.0","1.5070823655208178E-5","1.6263478764613142E-7","6.180121930552994E-5","2.27688702704584E-6","7.860681402896351E-6","5.936169749083797E-5"
1805,"1.529734364687041E-7","5.456052567383779E-6","0.0","0.0","0.0","5.099114548956803E-8","2.3455926925201293E-6","3.569380184269762E-7","3.263433311332354E-6","2.0396458195827212E-7","2.0396458195827212E-7","8.260565569310021E-5","4.0792916391654424E-7","1.3869591573162504E-4","0.0","1.0198229097913606E-7","5.2010968399359385E-6","4.5892030940611227E-7","2.0906369650722893E-6","1.937663528603585E-6","1.529734364687041E-7","8.158583278330885E-7","3.059468729374082E-7","2.5495572744784015E-7","1.0198229097913606E-7","2.5495572744784015E-7","2.0396458195827212E-7","7.648671823435204E-7","4.38523851210285E-6","1.3257697827287687E-6","0.0","0.0","1.5807255101766089E-6","1.529734364687041E-7","6.118937458748164E-7","7.138760368539524E-7","0.0","2.0396458195827212E-7","5.099114548956803E-8","1.0198229097913606E-7","0.0","2.0396458195827212E-7","6.094971620368067E-4","8.48492660946412E-5","5.099114548956803E-8","2.661737794555451E-5","1.886672383114017E-6","5.099114548956803E-8","1.6980051448026154E-5","2.0396458195827212E-7","5.2265924126807225E-5","2.4985661289888335E-6","1.0198229097913605E-5","7.118363910343696E-5"
1806,"6.415942676546292E-7","9.035785936136027E-6","0.0","5.34661889712191E-8","1.603985669136573E-7","0.0","1.76438423605023E-6","5.34661889712191E-7","3.314903716215584E-6","3.742633227985337E-7","2.673309448560955E-7","7.720517687444038E-5","5.34661889712191E-7","1.4034874604945013E-4","0.0","1.069323779424382E-7","6.469408865517511E-6","1.069323779424382E-7","1.4970532911941348E-6","1.4970532911941348E-6","5.34661889712191E-8","8.554590235395056E-7","2.138647558848764E-7","1.603985669136573E-7","0.0","2.138647558848764E-7","4.277295117697528E-7","6.950604566258482E-7","4.544626062553624E-6","3.52876847210046E-6","5.34661889712191E-8","1.603985669136573E-7","1.17625615736682E-6","1.603985669136573E-7","4.277295117697528E-7","4.277295117697528E-7","0.0","3.207971338273146E-7","1.603985669136573E-7","1.069323779424382E-7","5.34661889712191E-8","1.069323779424382E-7","5.633197670007644E-4","8.923506939296468E-5","5.34661889712191E-8","2.790935064297637E-5","1.7109180470790112E-6","3.742633227985337E-7","1.673491714799158E-5","0.0","4.924236004249279E-5","2.4059785037048593E-6","1.3901209132516966E-5","5.763655171097419E-5"
1807,"4.725492814557391E-7","8.22235749732986E-6","4.725492814557391E-8","9.450985629114781E-8","4.725492814557391E-8","4.725492814557391E-8","2.7407858324432866E-6","3.307844970190174E-7","5.292551952304278E-6","1.4176478443672173E-7","9.450985629114781E-8","7.735631737430449E-5","5.19804209601313E-7","1.269739919271571E-4","0.0","4.725492814557391E-8","6.473925155943626E-6","3.7803942516459125E-7","1.7011774132406607E-6","1.7484323413862347E-6","1.8901971258229563E-7","8.978436347659042E-7","6.615689940380348E-7","2.8352956887344345E-7","0.0","5.19804209601313E-7","2.3627464072786955E-7","2.3627464072786955E-7","4.489218173829521E-6","1.4176478443672173E-6","1.4176478443672173E-7","0.0","1.1341182754937738E-6","1.4176478443672173E-7","8.033337784747565E-7","1.559412628803939E-6","0.0","2.8352956887344345E-7","4.725492814557391E-8","9.450985629114781E-8","0.0","9.450985629114781E-8","6.858107721767142E-4","8.860299027295109E-5","4.725492814557391E-8","2.986511458800271E-5","3.213335113899026E-6","4.725492814557391E-8","1.7956872695318085E-5","0.0","5.4673951864429016E-5","1.8901971258229564E-6","1.389294887479873E-5","6.568435012234773E-5"
1808,"6.217046663717555E-7","7.269162252962064E-6","0.0","0.0","9.564687174950084E-8","0.0","3.2041702036082783E-6","3.34764051123253E-7","3.921521741729535E-6","2.8694061524850253E-7","1.9129374349900168E-7","6.623545868652933E-5","1.9129374349900168E-7","1.3916619839552373E-4","0.0","1.4347030762425127E-7","5.260577946222546E-6","3.34764051123253E-7","2.152054614363769E-6","2.056407742614268E-6","4.782343587475042E-8","3.34764051123253E-7","3.8258748699800336E-7","3.34764051123253E-7","0.0","1.4347030762425127E-7","5.738812304970051E-7","5.260577946222547E-7","4.064992049353786E-6","2.8694061524850253E-6","3.34764051123253E-7","0.0","1.1955858968687605E-6","1.9129374349900168E-7","6.69528102246506E-7","7.651749739960067E-7","0.0","1.9129374349900168E-7","4.782343587475042E-8","1.4347030762425127E-7","9.564687174950084E-8","2.8694061524850253E-7","7.130952523284036E-4","9.818151385086262E-5","0.0","2.5681185064740978E-5","2.1998780502385195E-6","9.564687174950084E-8","1.683384942791215E-5","0.0","5.901411986944202E-5","1.8651139991152664E-6","1.358185578842912E-5","6.489640248203632E-5"
1809,"3.636830638479714E-7","7.228200893978432E-6","4.546038298099642E-8","0.0","4.546038298099642E-8","0.0","2.5003210639548034E-6","3.1822268086697494E-7","3.500449489536725E-6","2.7276229788597855E-7","1.3638114894298928E-7","6.86906386842856E-5","7.273661276959428E-7","1.4701887856054244E-4","0.0","9.092076596199285E-8","4.591498681080639E-6","3.1822268086697494E-7","1.8638757022208533E-6","2.5003210639548034E-6","0.0","1.2728907234678998E-6","4.0914344682896783E-7","1.818415319239857E-7","0.0","4.0914344682896783E-7","1.818415319239857E-7","4.546038298099642E-7","6.637215915225478E-6","3.818672170403699E-6","2.273019149049821E-7","9.092076596199285E-8","1.7729549362588605E-6","1.3638114894298928E-7","8.63747276638932E-7","2.363939915011814E-6","0.0","2.273019149049821E-7","1.818415319239857E-7","0.0","0.0","2.273019149049821E-7","7.833733195285303E-4","9.073892443006885E-5","4.546038298099642E-8","2.9049184724856714E-5","4.682419447042631E-6","4.546038298099642E-8","1.791139089451259E-5","0.0","5.391601421546176E-5","2.5003210639548034E-6","1.372903566026092E-5","6.241710583290809E-5"
