"Year","flannel","jean","moleskin","velour","twill","gingham","leather","rayon","satin"," cotton","eyelet"," cotton.1","jacquard","angora","flax","nylon","canvas"," lace","velvet","cotton ","chino","cotton","mesh","silk ","silk","taffeta","chiffon","damask","cotton .1","mohair","lace","tweed"
1800,"6.0331154258228885E-6","2.7493768869107165E-5","0.0","0.0","4.9126797038843525E-6","2.154684080651032E-6","4.0421873353013354E-5","0.0","3.1027450761374857E-6","8.618736322604127E-8","0.0","1.7237472645208255E-7","0.0","0.0","4.085281016914356E-5","8.618736322604127E-8","0.0","6.033115425822889E-7","2.654570787362071E-5","0.0","4.3093681613020634E-7","1.1100932383514115E-4","1.7237472645208255E-7","8.618736322604127E-8","4.1542309074951894E-5","0.0","0.0","1.8961219909729078E-6","2.585620896781238E-7","4.3093681613020634E-7","7.334544610536112E-5","8.10161214324788E-6"
1801,"8.913088706577132E-6","2.0699475746195578E-5","0.0","5.863874149063903E-8","5.218847992666874E-6","2.110994693663005E-6","3.7704710778480896E-5","1.759162244719171E-7","5.8052354075732636E-6","1.1727748298127806E-7","5.863874149063903E-8","2.3455496596255612E-7","0.0","0.0","2.7267014793147147E-5","5.863874149063903E-8","0.0","1.759162244719171E-7","2.8029318432525457E-5","1.759162244719171E-7","1.1727748298127806E-7","1.1674973430786231E-4","2.931937074531951E-7","1.1727748298127806E-7","4.210261639027882E-5","1.759162244719171E-7","0.0","1.8178009862098098E-6","5.863874149063903E-8","2.931937074531951E-7","8.33842903996887E-5","7.0366489788766834E-6"
1802,"7.468347916255081E-6","1.592858579013779E-5","0.0","2.917323404787141E-7","5.776300341478539E-6","1.6920475747765419E-6","3.104032102693518E-5","2.917323404787141E-7","7.23496204387211E-6","5.834646809574282E-8","0.0","2.917323404787141E-7","0.0","0.0","2.4097091323541783E-5","0.0","0.0","7.001576171489139E-7","2.339693370639287E-5","0.0","2.333858723829713E-7","1.2124396070295358E-4","4.667717447659426E-7","1.7503940428722847E-7","3.197386451646707E-5","5.834646809574282E-8","5.251182128616854E-7","1.983779915255256E-6","2.333858723829713E-7","5.834646809574282E-8","8.48941110793058E-5","7.176615575776367E-6"
1803,"7.71949881278466E-6","1.045867581086954E-5","6.225402268374727E-8","1.2450804536749453E-7","4.731305723964792E-6","9.338103402562089E-7","3.5298030861684695E-5","6.225402268374727E-8","7.96851490351965E-6","0.0","0.0","1.2450804536749453E-7","0.0","0.0","1.1330232128442002E-5","0.0","0.0","6.225402268374726E-7","2.614668952717385E-5","0.0","1.2450804536749453E-7","1.2257817066429834E-4","1.2450804536749453E-7","6.225402268374727E-8","3.592057108852217E-5","1.2450804536749453E-7","1.8676206805124178E-7","2.3033988392986485E-6","3.112701134187363E-7","1.2450804536749453E-7","7.787978237736782E-5","9.33810340256209E-6"
1804,"1.2793936628162339E-5","1.5775574401674747E-5","5.4211595882043806E-8","0.0","6.288545122317082E-6","2.331098622927884E-6","4.320664191798892E-5","1.6263478764613142E-7","5.095890012912118E-6","5.4211595882043806E-8","0.0","5.4211595882043806E-8","0.0","1.6263478764613142E-7","2.0329348455766426E-5","5.4211595882043806E-8","0.0","4.879043629383943E-7","2.3365197825160882E-5","5.4211595882043806E-8","2.1684638352817522E-7","1.2555405606281346E-4","2.7105797941021903E-7","0.0","4.846516671854716E-5","2.7105797941021903E-7","2.1684638352817522E-7","1.0842319176408761E-6","2.1684638352817522E-7","0.0","8.766015054126484E-5","8.402797361716791E-6"
1805,"7.546689532456068E-6","1.5960228538234794E-5","1.0198229097913606E-7","5.099114548956803E-8","5.507043712873347E-6","1.937663528603585E-6","3.962012004539436E-5","0.0","1.4277520737079048E-5","5.099114548956803E-8","0.0","1.0198229097913606E-7","0.0","0.0","2.7229271691429327E-5","0.0","0.0","3.569380184269762E-7","3.212442165842786E-5","5.099114548956803E-8","3.059468729374082E-7","1.1988018304597444E-4","3.059468729374082E-7","3.059468729374082E-7","5.1857994962890684E-5","3.059468729374082E-7","6.118937458748164E-7","2.9064952929053777E-6","0.0","3.059468729374082E-7","7.709861198022686E-5","7.852636405393475E-6"
1806,"1.0265508282474067E-5","1.7964639494329618E-5","1.069323779424382E-7","5.34661889712191E-8","6.469408865517511E-6","2.5663770706185167E-6","3.822832511442165E-5","0.0","1.3313081053833554E-5","2.138647558848764E-7","0.0","0.0","0.0","0.0","2.8657877288573435E-5","0.0","5.34661889712191E-8","6.415942676546292E-7","2.609150021795492E-5","0.0","1.069323779424382E-7","1.3361200623907652E-4","3.207971338273146E-7","2.138647558848764E-7","5.576523509698152E-5","1.603985669136573E-7","3.742633227985337E-7","6.683273621402387E-6","1.603985669136573E-7","1.069323779424382E-7","7.816756827592232E-5","1.2243757274409173E-5"
1807,"9.214710988386912E-6","1.2380791174140364E-5","0.0","4.725492814557391E-8","8.789416635076747E-6","1.8901971258229564E-6","5.084630268463753E-5","0.0","1.52160868628748E-5","9.450985629114781E-8","0.0","4.252943533101652E-7","0.0","4.725492814557391E-8","2.0508638815179077E-5","0.0","0.0","3.307844970190174E-7","1.9516285324122023E-5","4.725492814557391E-8","2.3627464072786955E-7","1.0292123350105997E-4","2.3627464072786955E-7","1.4176478443672173E-7","4.6687869007827024E-5","4.725492814557391E-8","2.8352956887344345E-7","5.576081521177721E-6","2.3627464072786955E-7","3.307844970190174E-7","6.289630936175887E-5","1.0112554623152816E-5"
1808,"8.942982508578329E-6","1.2194976148061358E-5","1.4347030762425127E-7","1.4347030762425127E-7","7.1735153812125636E-6","2.9172295883597755E-6","5.14101935653567E-5","4.782343587475042E-8","1.7885965017156658E-5","4.782343587475042E-7","0.0","3.8258748699800336E-7","0.0","0.0","2.6302889731112733E-5","0.0","4.782343587475042E-8","4.304109228727538E-7","1.9846725888021427E-5","4.782343587475042E-8","9.564687174950084E-8","1.6298226946114943E-4","2.8694061524850253E-7","9.564687174950084E-8","6.283999473942206E-5","4.782343587475042E-8","1.4347030762425127E-7","2.5824655372365226E-6","1.9129374349900168E-7","9.564687174950084E-8","6.972656950538612E-5","5.5953419973458E-6"
1809,"8.00102740465537E-6","1.1001412681401135E-5","1.818415319239857E-7","9.092076596199285E-8","7.319121659940424E-6","1.500192638372882E-6","3.7413895193360055E-5","0.0","1.8547836256246542E-5","4.546038298099642E-8","0.0","9.092076596199284E-7","0.0","0.0","2.4775908724643052E-5","4.546038298099642E-8","4.546038298099642E-8","2.7276229788597855E-7","1.8638757022208534E-5","9.092076596199285E-8","1.3638114894298928E-7","9.505766081326352E-5","3.1822268086697494E-7","4.546038298099642E-8","5.659817681134055E-5","3.636830638479714E-7","0.0","3.545909872517721E-6","1.3638114894298928E-7","1.3638114894298928E-7","6.196250200309812E-5","7.00089897907345E-6"
